HTTP и HTTPs. Разница. Версии HTTPs - плюсик в карму,Веб
Из чего состоит запрос и ответ? Примеры заголовков,Веб
Статус-коды. Знать все группы и несколько примеров. Отличие 401 и 403. 418 код,Веб
"HTTP-методы. Различия GET и POST, PUT и PATCH",Веб
"Кэш (серверный, клиентский) и куки. Виды. Заголовки. Для чего используются? Как удалить? Где искать?",Веб
Пару слов про Local и Session Storage.,Веб
"Веб-сайт, веб-приложение, веб-сервис - разница",Веб
Chrome Devtools. Как вызвать? Для чего используется? Знать интерфейс и вкладки. На интервью можно просить шарить экран и показывать уже на открытых инструментах. Может упростить вам жизнь :),Веб
Виды UI. Виды версток,Веб
"Figma, PixelPerfect - для чего используется?",Веб
Названия веб-элементов и веб-форм. Особенности их тестирования,Веб
"Вы ввели логин и пароль, но не можете войти в систему. Что будете делать? Как локализовать баг?",Веб
Как определить баги с сервера и клиента?,Веб
Вы переходите на страницу и видите белый экран. Что будете делать?,Веб
С чего вы начнете тестирование нового билда вашего веб-приложения,Веб
"Что такое API, веб-сервис? Примеры",API
"Что такое SOAP? WSDL, XSD",API
"Что такое REST, RESTful (принципы)?",API
Разница SOAP и REST. Когда используется?,API
Формат XML. Использование и правила синтаксиса,API
Формат JSON. Использование и правила синтаксиса,API
С помощью каких приложений можно тестировать API?,API
Postman. Обзор интерфейса.,API
"Уметь: создавать коллекции, папки, запросы (минимум GET и POST), настраивать окружения и переменные, запускать простые автотесты из сниппетов, тестирование SOAP.",API
"Будет неплохо если вспомните про перехват трафика, подготовку переменных в csv и json, цепочки запросов, подготовку рандомных тестовых данных.",API
SoapUI.,API
"Необходимый минимум: создание проекта, подключение WSDL, отправка запросов. Если видите в описании вакансии, что тестирует SOAP, советую углубиться",API
Где хранится документация API? Что в ней указывается? Работа в Swagger,API
Какие позитивные и негативные проверки можно проводить?,API
"Идентификация, аутентификация, авторизация. Типы авторизации в Postman.",API
"Как протестировать API, если нет документации?",API
"Как бы будете аргументировать то, что надо написать API документацию?",API
Что такое БД и СУБД (их примеры)?,Базы данных
Виды БД. Отличия реляционных и нереляционных БД,Базы данных
Типы отношений,Базы данных
Нормализация. Нормальные формы,Базы данных
MySQL (или любая другая реляционная СУБД). Обзор интерфейса,Базы данных
"Запросы на создание, изменение, удаление таблиц",Базы данных
SELECT-запросы. Агрегатные функции. Вложенные подзапросы,Базы данных
"JOIN-запросы. Inner, Left, Right",Базы данных
В каком порядке обрабатываются операторы?,Базы данных
MongoDB. Образцы запросов,Базы данных
Для чего БД используются в тестировании?,Базы данных
Какой запрос лучше сделать до удаления данных?,Базы данных
"Как бы будете аргументировать то, что тестировщикам нужно открыть доступ к БД?",Базы данных
Android и iOS. Основные отличия.,Mobile
Сможете немного рассказать про архитектуру - вообще хорошо,Mobile
Архитектура iOS и Android-приложений. Этот вопрос со звездочкой. Для джуна знать необязательно,Mobile
"Типы мобильных приложений. Нативные, гибридные, веб, кроссплатформенные",Mobile
"Как формировать ферму тестовых устройств? Статистика, удаленные тестовые фермы, эмуляторы и симуляторы (различия)",Mobile
Особенности тестирования мобильных приложений. Очень хорошие примеры в ISTQB CT-MAT,Mobile
"Android Studio. Обзор функций, анализ логов",Mobile
"xCode. Обзор функций, анализ логов",Mobile
Что такое гайдлайны? Знать основные моменты из них,Mobile
Мобильные элементы и жесты,Mobile
"Знать названия локальных магазинов на платформах, последние версии ОС и их особенности",Mobile
"Что такое снифферы, прокси-сервер? Для чего используются в тестировании?",Mobile
"Разобрать хотя бы один из них (Charles Proxy, Fiddler, Proxyman). Если ограничены во времени, то Charles Proxy. Знать основные функции, интерфейс и инструменты. Уметь работать с ними",Mobile
Особенности установки снифферов на компьютер и мобильные устройства,Mobile
У тебя есть только телефон и возможность установить любую программу на компьютер. Как ты будешь просматривать отправленные запросы и ответы в web через него?,Mobile
Баг воспроизводится только на мобильном устройстве. В обычной веб-версии все хорошо. Что будешь делать?,Mobile
Тебе предоставили мобильное приложение для тестирования. На каких устройствах ты будешь проводить тестирование?,Mobile
Что такое bash? Как используется в тестировании? Как включить на Windows?,"git, bash, CI/CD"
"Базовые команды bash (создание, изменение, удаление папок и файлов, просмотр содержимого, поиск, вывод в консоль и в файлы, текстовые редакторы, работа с процессами, curl)","git, bash, CI/CD"
Что такое система контроля версий на примере git?,"git, bash, CI/CD"
"Что такое репозиторий, ветка, коммит, хэш, pull request, code review?","git, bash, CI/CD"
"Базовые команды (настройка git и github, конфигурация, создание и клонирование репозитория, создание коммита, push и pull, создание веток, переключение по веткам, слияние веток, откат изменений)","git, bash, CI/CD"
"Что такое environment? Виды, что делают на каждом?","git, bash, CI/CD"
"Что такое CI/CD? Описание всего процесса и инструментов, которые могут на них применяться","git, bash, CI/CD"
Что такое code freeze?,"git, bash, CI/CD"
"Зачем тестировщику bash, git, базовое понимание CI/CD?","git, bash, CI/CD"
"У тебя есть несколько веток. Как ты проверишь их различия и сделаешь так, чтобы они повторяли друг друга?","git, bash, CI/CD"
"Какие команды необходимо сделать, чтобы увидеть первый коммит в удаленный репозиторий?","git, bash, CI/CD"
"Как бы ты назвал ветку с фичей, ветку с багом?","git, bash, CI/CD"
"Выведи содержимое нескольких файлов в один файл. Это один из примеров, может быть много разных мелких задач на знание команд bash и git.","git, bash, CI/CD"
"На каком окружении ты бы проводил регрессионное тестирование? Если бы такого окружения не было то, чтобы ты делал?","git, bash, CI/CD"
